# "year", "no", "page", "clipno", "area", "class"
2014,9,22,2,265608,0
2013,9,14,3,1358916,1
2014,4,86,1,68295,0
2014,6,95,7,50142,0
2013,10,43,0,31434,1
2014,6,99,2,16896,0
2014,10,93,1,22572,0
2014,1,85,1,916560,1
2014,4,82,8,5049,0
2013,9,35,1,15087,0
2014,3,99,3,56682,0
2014,10,97,2,119790,0
2014,5,40,2,1027044,1
2013,9,49,15,8100,0
2013,8,66,1,14868,0
2014,9,68,3,107940,1
2014,1,14,0,206790,0
2014,5,98,4,43824,0
2013,10,69,0,2520,0
2014,3,87,0,2520,0
2013,8,35,0,31320,1
2014,6,96,7,347133,1
2013,10,51,2,41511,0
2014,3,79,2,236880,1
2014,1,22,2,2145,0
2014,2,88,9,6396,0
2014,10,18,1,16512,0
2013,8,59,2,846765,1
2014,9,72,5,10920,0
2013,9,83,2,108528,0
2013,9,43,4,30186,0
2014,7,83,2,1195776,1
2014,4,97,1,373275,1
2014,6,99,1,2604,0
2013,8,97,0,560868,0
2014,1,34,1,1356498,1
2014,1,4,8,14442,0
2014,4,40,0,307584,1
2014,7,42,1,78750,0
2014,9,75,1,1217034,1
2014,2,99,1,22464,0
2013,10,57,0,7560,0
2014,2,55,0,226590,0
2014,8,12,5,43524,0
2013,8,94,0,5880,0
2014,9,33,8,207774,0
2014,6,38,0,1247385,1
2014,1,88,10,36156,0
2014,7,91,13,17802,0
2014,2,62,3,682875,1
2014,1,4,3,61680,0
2014,8,75,0,13050,0
2014,2,90,2,6000,0
2014,10,92,6,617760,1
2013,8,94,15,22644,0
2013,8,74,1,6930,0
2014,4,69,0,2520,0
2014,3,88,4,153972,0
2014,7,97,5,20436,0
2014,6,85,9,28830,0
2014,7,10,3,16125,0
2014,5,53,6,68112,0
2014,10,98,8,129444,0
2014,8,43,4,932553,1
2014,9,73,7,5508,0
2014,3,90,4,7056,0
2014,5,74,0,2772,0
2014,8,52,1,86010,0
2014,3,37,0,17688,0
2013,9,84,1,76635,0
2013,9,99,1,22464,0
2013,9,54,1,58140,0
2014,7,87,7,826512,1
2014,1,45,2,135807,0
2014,8,94,14,4620,0
2014,9,59,0,153624,0
2014,9,39,0,89856,0
2014,7,63,0,60690,1
2014,9,94,7,9204,0
2014,6,88,0,6426,0
2014,1,93,4,99072,0
2013,10,87,6,95850,1
2014,1,47,9,67233,0
2014,6,90,6,1395186,0
2014,4,38,0,22896,0
2014,7,26,0,6216,0
2014,5,90,3,7056,0
2014,10,85,8,3960,0
2014,2,30,1,1467726,1
2014,10,51,0,14418,0
2013,10,94,8,22950,0
2013,8,66,2,8910,0
2013,10,56,1,824913,1
2014,2,8,0,308355,0
2014,2,70,0,5700,0
2013,8,88,13,333216,0
2014,5,94,6,39432,0
2014,5,93,5,119505,0
2014,3,22,2,586125,1
2014,6,7,5,1277940,1
2014,3,57,3,244188,1
2014,2,11,1,59706,0
2014,10,1,6,2652,0
2014,7,85,7,8928,0
2014,10,4,4,2262,0
2014,2,79,1,1375341,0
2014,8,53,2,4860,0
2013,9,2,0,1467726,0
2014,5,26,2,3978,0
2013,9,32,0,1467726,1
2014,10,95,0,2310,0
2014,9,65,2,673770,1
2014,2,91,0,8514,0
2014,10,4,2,73749,0
2013,10,82,4,14553,0
2013,10,9,0,100035,0
2013,10,85,4,240372,0
2014,6,81,4,8439,0
2014,4,12,4,1467726,1
2014,4,25,2,340764,1
2014,10,66,2,95040,0
2013,9,3,1,7434,0
2014,7,93,7,4752,0
2013,8,61,9,5508,0
2013,8,76,5,24864,0
2014,7,84,0,2268,0
2014,7,65,9,218943,0
2014,7,70,0,422904,1
2014,4,17,3,16389,0
2014,1,30,0,1467726,1
2014,1,61,2,41580,0
2014,9,4,15,42408,0
2014,9,87,7,46800,1
2013,8,78,3,67209,0
2014,6,95,5,6300,0
2014,1,52,0,12921,0
2013,9,94,14,95277,0
2014,8,92,8,5049,0
2014,9,71,4,168822,1
2014,4,95,2,408576,1
2014,8,91,13,17802,0
2014,8,20,0,5838,0
2014,8,94,1,38796,0
2014,10,53,3,89784,0
2014,5,52,4,126750,1
2014,7,36,0,6600,0
2014,4,5,5,1467726,1
2014,10,56,0,167856,0
2014,8,77,2,631887,1
2014,5,67,1,33300,0
2013,9,99,2,30576,0
2014,2,92,3,49662,0
2013,10,36,1,37557,0
2014,3,88,7,54108,0
2014,6,11,3,375606,1
2014,7,86,1,68295,0
2014,5,42,0,3696,0
2013,9,97,8,87138,0
2014,8,83,2,32208,0
2014,10,60,0,15792,0
2014,1,95,5,661419,1
2014,7,89,0,14652,0
2014,8,6,4,15708,0
2014,1,93,8,4752,0
2014,8,91,8,2250,0
2014,7,57,3,2655,0
2014,6,2,0,1467726,0
2014,10,30,3,163314,0
2014,4,3,4,154836,0
2013,9,72,0,1250700,1
2014,3,52,3,157707,0
2013,8,93,2,76152,0
2014,3,20,0,1467726,0
2014,2,10,0,449442,1
2014,9,4,9,15921,0
2013,10,81,1,12036,0
2014,6,42,1,1139316,1
2014,4,86,4,237843,1
2014,8,52,2,1278342,1
2014,8,90,5,43659,0
2014,5,76,1,1438710,1
2013,8,50,0,216216,0
2014,4,68,3,11520,0
2014,3,68,1,463245,1
2014,1,61,3,759330,1
2014,7,59,3,11532,0
2014,7,72,2,13020,0
2013,10,26,0,1467726,0
2014,4,84,0,76635,0
2014,10,70,1,447876,1
2014,10,74,1,309096,0
2013,10,91,3,1450800,1
2014,6,43,0,742968,1
2013,8,59,4,62244,0
2014,8,92,4,56334,0
2014,1,5,0,371904,1
2014,10,60,1,718848,1
2013,9,41,4,23373,0
2014,4,82,4,183546,0
2014,10,30,0,9396,0
2014,6,68,1,329670,0
