"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","/srv/data/multimodal/finnishsubset//51417-27.swf.txt","/srv/data/multimodal/finnishsubset//124246-18.swf.txt","/srv/data/multimodal/finnishsubset//120767-15.swf.txt","/srv/data/multimodal/finnishsubset//118737-51.swf.txt","/srv/data/multimodal/finnishsubset//108294-41.swf.txt","/srv/data/multimodal/finnishsubset//3128-17.swf.txt","/srv/data/multimodal/finnishsubset//25082-22.swf.txt","/srv/data/multimodal/finnishsubset//33117-31.swf.txt","/srv/data/multimodal/finnishsubset//110518-43.swf.txt","/srv/data/multimodal/finnishsubset//119868-40.swf.txt","/srv/data/multimodal/finnishsubset//18582-6.swf.txt","/srv/data/multimodal/finnishsubset//92329-2.swf.txt","/srv/data/multimodal/finnishsubset//59233-16.swf.txt","/srv/data/multimodal/finnishsubset//19845-40.swf.txt","/srv/data/multimodal/finnishsubset//25082-8.swf.txt","/srv/data/multimodal/finnishsubset//11759-27.swf.txt","/srv/data/multimodal/finnishsubset//119326-42.swf.txt","/srv/data/multimodal/finnishsubset//118737-1.swf.txt","/srv/data/multimodal/finnishsubset//31931-24.swf.txt","/srv/data/multimodal/finnishsubset//122493-10.swf.txt"
"2","/srv/data/multimodal/finnishsubset//4840-25.swf.txt","/srv/data/multimodal/finnishsubset//124864-15.swf.txt","/srv/data/multimodal/finnishsubset//74277-25.swf.txt","/srv/data/multimodal/finnishsubset//37426-48.swf.txt","/srv/data/multimodal/finnishsubset//103726-41.swf.txt","/srv/data/multimodal/finnishsubset//10433-16.swf.txt","/srv/data/multimodal/finnishsubset//18582-15.swf.txt","/srv/data/multimodal/finnishsubset//103726-31.swf.txt","/srv/data/multimodal/finnishsubset//92329-44.swf.txt","/srv/data/multimodal/finnishsubset//98965-43.swf.txt","/srv/data/multimodal/finnishsubset//3686-6.swf.txt","/srv/data/multimodal/finnishsubset//67434-3.swf.txt","/srv/data/multimodal/finnishsubset//105063-37.swf.txt","/srv/data/multimodal/finnishsubset//125717-48.swf.txt","/srv/data/multimodal/finnishsubset//71963-29.swf.txt","/srv/data/multimodal/finnishsubset//43434-38.swf.txt","/srv/data/multimodal/finnishsubset//115138-42.swf.txt","/srv/data/multimodal/finnishsubset//25082-20.swf.txt","/srv/data/multimodal/finnishsubset//45845-14.swf.txt","/srv/data/multimodal/finnishsubset//43434-7.swf.txt"
"3","/srv/data/multimodal/finnishsubset//4840-26.swf.txt","/srv/data/multimodal/finnishsubset//124864-16.swf.txt","/srv/data/multimodal/finnishsubset//98965-35.swf.txt","/srv/data/multimodal/finnishsubset//33117-49.swf.txt","/srv/data/multimodal/finnishsubset//105063-41.swf.txt","/srv/data/multimodal/finnishsubset//29206-33.swf.txt","/srv/data/multimodal/finnishsubset//6741-17.swf.txt","/srv/data/multimodal/finnishsubset//78146-30.swf.txt","/srv/data/multimodal/finnishsubset//96866-44.swf.txt","/srv/data/multimodal/finnishsubset//115962-12.swf.txt","/srv/data/multimodal/finnishsubset//115138-39.swf.txt","/srv/data/multimodal/finnishsubset//96866-2.swf.txt","/srv/data/multimodal/finnishsubset//2941-25.swf.txt","/srv/data/multimodal/finnishsubset//82941-58.swf.txt","/srv/data/multimodal/finnishsubset//88876-9.swf.txt","/srv/data/multimodal/finnishsubset//36363-33.swf.txt","/srv/data/multimodal/finnishsubset//115962-42.swf.txt","/srv/data/multimodal/finnishsubset//31931-32.swf.txt","/srv/data/multimodal/finnishsubset//118467-19.swf.txt","/srv/data/multimodal/finnishsubset//121187-35.swf.txt"
"4","/srv/data/multimodal/finnishsubset//98965-16.swf.txt","/srv/data/multimodal/finnishsubset//119326-22.swf.txt","/srv/data/multimodal/finnishsubset//100650-9.swf.txt","/srv/data/multimodal/finnishsubset//34669-49.swf.txt","/srv/data/multimodal/finnishsubset//86839-48.swf.txt","/srv/data/multimodal/finnishsubset//37426-32.swf.txt","/srv/data/multimodal/finnishsubset//3686-20.swf.txt","/srv/data/multimodal/finnishsubset//55142-18.swf.txt","/srv/data/multimodal/finnishsubset//98965-52.swf.txt","/srv/data/multimodal/finnishsubset//98965-45.swf.txt","/srv/data/multimodal/finnishsubset//34669-6.swf.txt","/srv/data/multimodal/finnishsubset//82941-3.swf.txt","/srv/data/multimodal/finnishsubset//2941-23.swf.txt","/srv/data/multimodal/finnishsubset//24060-40.swf.txt","/srv/data/multimodal/finnishsubset//115138-23.swf.txt","/srv/data/multimodal/finnishsubset//6741-20.swf.txt","/srv/data/multimodal/finnishsubset//118467-42.swf.txt","/srv/data/multimodal/finnishsubset//26288-17.swf.txt","/srv/data/multimodal/finnishsubset//25082-27.swf.txt","/srv/data/multimodal/finnishsubset//67434-7.swf.txt"
"5","/srv/data/multimodal/finnishsubset//124864-9.swf.txt","/srv/data/multimodal/finnishsubset//120767-32.swf.txt","/srv/data/multimodal/finnishsubset//74277-26.swf.txt","/srv/data/multimodal/finnishsubset//36363-49.swf.txt","/srv/data/multimodal/finnishsubset//108101-41.swf.txt","/srv/data/multimodal/finnishsubset//22978-21.swf.txt","/srv/data/multimodal/finnishsubset//27424-9.swf.txt","/srv/data/multimodal/finnishsubset//33117-25.swf.txt","/srv/data/multimodal/finnishsubset//109183-43.swf.txt","/srv/data/multimodal/finnishsubset//98965-44.swf.txt","/srv/data/multimodal/finnishsubset//24060-7.swf.txt","/srv/data/multimodal/finnishsubset//88876-2.swf.txt","/srv/data/multimodal/finnishsubset//108101-37.swf.txt","/srv/data/multimodal/finnishsubset//98965-57.swf.txt","/srv/data/multimodal/finnishsubset//11759-7.swf.txt","/srv/data/multimodal/finnishsubset//22978-27.swf.txt","/srv/data/multimodal/finnishsubset//112223-42.swf.txt","/srv/data/multimodal/finnishsubset//27424-17.swf.txt","/srv/data/multimodal/finnishsubset//57584-19.swf.txt","/srv/data/multimodal/finnishsubset//29206-18.swf.txt"
"6","/srv/data/multimodal/finnishsubset//31931-28.swf.txt","/srv/data/multimodal/finnishsubset//108101-26.swf.txt","/srv/data/multimodal/finnishsubset//110518-7.swf.txt","/srv/data/multimodal/finnishsubset//29206-49.swf.txt","/srv/data/multimodal/finnishsubset//110518-41.swf.txt","/srv/data/multimodal/finnishsubset//92329-4.swf.txt","/srv/data/multimodal/finnishsubset//9339-20.swf.txt","/srv/data/multimodal/finnishsubset//110518-32.swf.txt","/srv/data/multimodal/finnishsubset//40350-52.swf.txt","/srv/data/multimodal/finnishsubset//118737-38.swf.txt","/srv/data/multimodal/finnishsubset//14099-7.swf.txt","/srv/data/multimodal/finnishsubset//121187-2.swf.txt","/srv/data/multimodal/finnishsubset//59233-17.swf.txt","/srv/data/multimodal/finnishsubset//2941-40.swf.txt","/srv/data/multimodal/finnishsubset//64729-13.swf.txt","/srv/data/multimodal/finnishsubset//2941-21.swf.txt","/srv/data/multimodal/finnishsubset//114072-42.swf.txt","/srv/data/multimodal/finnishsubset//36363-8.swf.txt","/srv/data/multimodal/finnishsubset//43434-23.swf.txt","/srv/data/multimodal/finnishsubset//42301-21.swf.txt"
"7","/srv/data/multimodal/finnishsubset//36363-25.swf.txt","/srv/data/multimodal/finnishsubset//122493-12.swf.txt","/srv/data/multimodal/finnishsubset//105063-32.swf.txt","/srv/data/multimodal/finnishsubset//38622-48.swf.txt","/srv/data/multimodal/finnishsubset//118467-41.swf.txt","/srv/data/multimodal/finnishsubset//38622-21.swf.txt","/srv/data/multimodal/finnishsubset//22127-9.swf.txt","/srv/data/multimodal/finnishsubset//37426-24.swf.txt","/srv/data/multimodal/finnishsubset//42301-52.swf.txt","/srv/data/multimodal/finnishsubset//98965-42.swf.txt","/srv/data/multimodal/finnishsubset//31931-7.swf.txt","/srv/data/multimodal/finnishsubset//108101-2.swf.txt","/srv/data/multimodal/finnishsubset//3686-17.swf.txt","/srv/data/multimodal/finnishsubset//9339-40.swf.txt","/srv/data/multimodal/finnishsubset//5098-11.swf.txt","/srv/data/multimodal/finnishsubset//11759-26.swf.txt","/srv/data/multimodal/finnishsubset//108294-42.swf.txt","/srv/data/multimodal/finnishsubset//118737-3.swf.txt","/srv/data/multimodal/finnishsubset//42301-17.swf.txt","/srv/data/multimodal/finnishsubset//71963-37.swf.txt"
"8","/srv/data/multimodal/finnishsubset//92329-19.swf.txt","/srv/data/multimodal/finnishsubset//119868-25.swf.txt","/srv/data/multimodal/finnishsubset//124864-10.swf.txt","/srv/data/multimodal/finnishsubset//6741-24.swf.txt","/srv/data/multimodal/finnishsubset//119326-41.swf.txt","/srv/data/multimodal/finnishsubset//43434-66.swf.txt","/srv/data/multimodal/finnishsubset//18582-18.swf.txt","/srv/data/multimodal/finnishsubset//2941-30.swf.txt","/srv/data/multimodal/finnishsubset//43434-60.swf.txt","/srv/data/multimodal/finnishsubset//98965-39.swf.txt","/srv/data/multimodal/finnishsubset//74277-6.swf.txt","/srv/data/multimodal/finnishsubset//74277-3.swf.txt","/srv/data/multimodal/finnishsubset//2941-24.swf.txt","/srv/data/multimodal/finnishsubset//120767-49.swf.txt","/srv/data/multimodal/finnishsubset//29206-10.swf.txt","/srv/data/multimodal/finnishsubset//71963-26.swf.txt","/srv/data/multimodal/finnishsubset//108101-42.swf.txt","/srv/data/multimodal/finnishsubset//126378-3.swf.txt","/srv/data/multimodal/finnishsubset//53130-32.swf.txt","/srv/data/multimodal/finnishsubset//2941-18.swf.txt"
"9","/srv/data/multimodal/finnishsubset//126378-51.swf.txt","/srv/data/multimodal/finnishsubset//112223-25.swf.txt","/srv/data/multimodal/finnishsubset//4294-7.swf.txt","/srv/data/multimodal/finnishsubset//51417-30.swf.txt","/srv/data/multimodal/finnishsubset//119868-41.swf.txt","/srv/data/multimodal/finnishsubset//3128-18.swf.txt","/srv/data/multimodal/finnishsubset//42301-27.swf.txt","/srv/data/multimodal/finnishsubset//19845-32.swf.txt","/srv/data/multimodal/finnishsubset//55142-52.swf.txt","/srv/data/multimodal/finnishsubset//98965-40.swf.txt","/srv/data/multimodal/finnishsubset//53130-7.swf.txt","/srv/data/multimodal/finnishsubset//64729-2.swf.txt","/srv/data/multimodal/finnishsubset//3911-25.swf.txt","/srv/data/multimodal/finnishsubset//53130-57.swf.txt","/srv/data/multimodal/finnishsubset//67434-18.swf.txt","/srv/data/multimodal/finnishsubset//5436-26.swf.txt","/srv/data/multimodal/finnishsubset//110518-42.swf.txt","/srv/data/multimodal/finnishsubset//57584-1.swf.txt","/srv/data/multimodal/finnishsubset//45845-13.swf.txt","/srv/data/multimodal/finnishsubset//18582-10.swf.txt"
"10","/srv/data/multimodal/finnishsubset//115138-7.swf.txt","/srv/data/multimodal/finnishsubset//122493-7.swf.txt","/srv/data/multimodal/finnishsubset//3686-31.swf.txt","/srv/data/multimodal/finnishsubset//98965-18.swf.txt","/srv/data/multimodal/finnishsubset//114072-41.swf.txt","/srv/data/multimodal/finnishsubset//22978-22.swf.txt","/srv/data/multimodal/finnishsubset//6741-18.swf.txt","/srv/data/multimodal/finnishsubset//29206-27.swf.txt","/srv/data/multimodal/finnishsubset//37426-52.swf.txt","/srv/data/multimodal/finnishsubset//98965-41.swf.txt","/srv/data/multimodal/finnishsubset//98965-5.swf.txt","/srv/data/multimodal/finnishsubset//103726-2.swf.txt","/srv/data/multimodal/finnishsubset//3911-26.swf.txt","/srv/data/multimodal/finnishsubset//16916-40.swf.txt","/srv/data/multimodal/finnishsubset//125717-15.swf.txt","/srv/data/multimodal/finnishsubset//55142-26.swf.txt","/srv/data/multimodal/finnishsubset//124246-42.swf.txt","/srv/data/multimodal/finnishsubset//5436-1.swf.txt","/srv/data/multimodal/finnishsubset//114072-13.swf.txt","/srv/data/multimodal/finnishsubset//108101-36.swf.txt"
